epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,735.092,4.72668,5.32844,4.19401,0.00086,0.00279,0.00044,0.0001,4.65156,7.3854,4.05429,0.0700185,0.00333127,0.00333127
2,1524.62,3.46378,3.63448,2.80154,0.04885,0.17115,0.06429,0.02596,2.47964,2.71654,1.88687,0.0399997,0.00664576,0.00664576
3,2261.56,2.42093,2.55826,1.7863,0.25224,0.143,0.10578,0.04854,2.10985,2.18712,1.60082,0.00996198,0.00994138,0.00994138
4,2997.8,2.14172,2.20977,1.58983,0.20756,0.16919,0.13255,0.06423,1.99573,1.89841,1.49033,0.00991514,0.00991514,0.00991514
5,3741.23,1.96279,1.96768,1.47348,0.23507,0.20502,0.16296,0.08085,1.8403,1.74144,1.39503,0.00988686,0.00988686,0.00988686
6,4482.33,1.8683,1.81872,1.40398,0.2655,0.21987,0.18934,0.09771,1.75675,1.60704,1.34068,0.00985857,0.00985857,0.00985857
7,5252.51,1.79578,1.71769,1.36313,0.30375,0.25761,0.22321,0.1183,1.65202,1.49305,1.29391,0.00983029,0.00983029,0.00983029
8,6053.68,1.74816,1.63591,1.33345,0.31776,0.26385,0.23817,0.12924,1.60643,1.43511,1.26984,0.009802,0.009802,0.009802
9,6771.09,1.70724,1.5771,1.30781,0.33838,0.27748,0.25275,0.13668,1.58067,1.41156,1.25023,0.00977371,0.00977371,0.00977371
10,7525.05,1.6711,1.51303,1.28669,0.37688,0.28817,0.27398,0.15044,1.54717,1.39042,1.23413,0.00974543,0.00974543,0.00974543
11,8242.22,1.64862,1.47379,1.26747,0.36509,0.30586,0.28631,0.15645,1.52305,1.32413,1.22031,0.00971714,0.00971714,0.00971714
12,9034.01,1.621,1.43626,1.26024,0.40363,0.32128,0.30886,0.17256,1.49016,1.27169,1.20398,0.00968886,0.00968886,0.00968886
13,9781.44,1.60444,1.40805,1.24257,0.40895,0.32499,0.31117,0.17272,1.48909,1.27629,1.19973,0.00966057,0.00966057,0.00966057
14,10499.6,1.5868,1.37652,1.23452,0.41489,0.33921,0.32601,0.18303,1.45482,1.23176,1.18338,0.00963229,0.00963229,0.00963229
15,11231.6,1.56782,1.35007,1.22199,0.41971,0.33695,0.33094,0.18762,1.4523,1.21313,1.18117,0.009604,0.009604,0.009604
16,11955.5,1.55628,1.33533,1.21823,0.42815,0.35483,0.34484,0.19383,1.4389,1.19722,1.17268,0.00957571,0.00957571,0.00957571
17,12690.8,1.54408,1.31067,1.21077,0.42669,0.35933,0.34551,0.19533,1.43376,1.17519,1.16572,0.00954743,0.00954743,0.00954743
18,13405.3,1.5264,1.28919,1.19905,0.43477,0.36399,0.35323,0.20136,1.41937,1.16524,1.16369,0.00951914,0.00951914,0.00951914
19,14151.3,1.51552,1.27527,1.19866,0.44866,0.36291,0.35689,0.2051,1.41369,1.15539,1.15772,0.00949086,0.00949086,0.00949086
20,14895.6,1.51344,1.26377,1.19242,0.44355,0.36584,0.35725,0.20554,1.40204,1.15832,1.14773,0.00946257,0.00946257,0.00946257
21,15622.6,1.49653,1.24855,1.18697,0.46951,0.37257,0.37094,0.21312,1.39356,1.13226,1.1473,0.00943429,0.00943429,0.00943429
22,16353.3,1.48897,1.23269,1.17785,0.47411,0.37309,0.37458,0.21698,1.38269,1.11876,1.14185,0.009406,0.009406,0.009406
23,17076.6,1.47724,1.21773,1.17787,0.46677,0.38056,0.37716,0.21958,1.37826,1.11626,1.13963,0.00937771,0.00937771,0.00937771
24,17785.4,1.47281,1.20782,1.17406,0.46117,0.37974,0.37558,0.21958,1.37605,1.10863,1.13736,0.00934943,0.00934943,0.00934943
25,18497.5,1.46377,1.19635,1.16981,0.47121,0.3905,0.38572,0.22423,1.37303,1.10262,1.13376,0.00932114,0.00932114,0.00932114
26,19247.5,1.45896,1.18484,1.16554,0.48607,0.38261,0.38453,0.22556,1.37269,1.10053,1.13045,0.00929286,0.00929286,0.00929286
27,19955.3,1.46513,1.19217,1.15833,0.4705,0.3924,0.39038,0.22917,1.37689,1.10582,1.12644,0.00926457,0.00926457,0.00926457
28,20685.6,1.46397,1.18803,1.15657,0.4887,0.38535,0.39094,0.23004,1.37855,1.10554,1.125,0.00923629,0.00923629,0.00923629
